SeriesId,Year,Period,Label,Value,Race,Gender
LEU0254931800,2004,A01,2004 Annual,586,White,Women
LEU0254931800,2005,A01,2005 Annual,600,White,Women
LEU0254931800,2006,A01,2006 Annual,612,White,Women
LEU0254931800,2007,A01,2007 Annual,621,White,Women
LEU0254931800,2008,A01,2008 Annual,644,White,Women
LEU0254931800,2009,A01,2009 Annual,645,White,Women
LEU0254931800,2010,A01,2010 Annual,654,White,Women
LEU0254931800,2011,A01,2011 Annual,665,White,Women
LEU0254931800,2012,A01,2012 Annual,678,White,Women
LEU0254931800,2013,A01,2013 Annual,677,White,Women
LEU0254931800,2014,A01,2014 Annual,678,White,Women
LEU0254931800,2015,A01,2015 Annual,680,White,Women
LEU0254931800,2016,A01,2016 Annual,704,White,Women
LEU0254931800,2017,A01,2017 Annual,717,White,Women
LEU0254931800,2018,A01,2018 Annual,742,White,Women
LEU0254931800,2019,A01,2019 Annual,755,White,Women
LEU0254931800,2020,A01,2020 Annual,797,White,Women
LEU0254931800,2021,A01,2021 Annual,824,White,Women
LEU0254931800,2022,A01,2022 Annual,871,White,Women
LEU0254931800,2023,A01,2023 Annual,918,White,Women
LEU0254886600,2012,A01,2012 Annual,479,Asian,Men
LEU0254886600,2013,A01,2013 Annual,463,Asian,Men
LEU0254886600,2014,A01,2014 Annual,493,Asian,Men
LEU0254886600,2015,A01,2015 Annual,495,Asian,Men
LEU0254886600,2016,A01,2016 Annual,568,Asian,Men
LEU0254886600,2017,A01,2017 Annual,590,Asian,Men
LEU0254886600,2018,A01,2018 Annual,579,Asian,Men
LEU0254886600,2019,A01,2019 Annual,616,Asian,Men
LEU0254886600,2020,A01,2020 Annual,624,Asian,Men
LEU0254886600,2021,A01,2021 Annual,658,Asian,Men
LEU0254886600,2022,A01,2022 Annual,704,Asian,Men
LEU0254886600,2023,A01,2023 Annual,776,Asian,Men
LEU0254888300,2012,A01,2012 Annual,665,Asian,Men
LEU0254888300,2013,A01,2013 Annual,629,Asian,Men
LEU0254888300,2014,A01,2014 Annual,664,Asian,Men
LEU0254888300,2015,A01,2015 Annual,654,Asian,Men
LEU0254888300,2016,A01,2016 Annual,683,Asian,Men
LEU0254888300,2017,A01,2017 Annual,714,Asian,Men
LEU0254888300,2018,A01,2018 Annual,748,Asian,Men
LEU0254888300,2019,A01,2019 Annual,739,Asian,Men
LEU0254888300,2020,A01,2020 Annual,784,Asian,Men
LEU0254888300,2021,A01,2021 Annual,843,Asian,Men
LEU0254888300,2022,A01,2022 Annual,868,Asian,Men
LEU0254888300,2023,A01,2023 Annual,959,Asian,Men
LEU0254890100,2012,A01,2012 Annual,787,Asian,Men
LEU0254890100,2013,A01,2013 Annual,835,Asian,Men
LEU0254890100,2014,A01,2014 Annual,775,Asian,Men
LEU0254890100,2015,A01,2015 Annual,825,Asian,Men
LEU0254890100,2016,A01,2016 Annual,827,Asian,Men
LEU0254890100,2017,A01,2017 Annual,856,Asian,Men
LEU0254890100,2018,A01,2018 Annual,887,Asian,Men
LEU0254890100,2019,A01,2019 Annual,935,Asian,Men
LEU0254890100,2020,A01,2020 Annual,1007,Asian,Men
LEU0254890100,2021,A01,2021 Annual,989,Asian,Men
LEU0254890100,2022,A01,2022 Annual,1061,Asian,Men
LEU0254890100,2023,A01,2023 Annual,1126,Asian,Men
LEU0254891900,2012,A01,2012 Annual,1426,Asian,Men
LEU0254891900,2013,A01,2013 Annual,1491,Asian,Men
LEU0254891900,2014,A01,2014 Annual,1472,Asian,Men
LEU0254891900,2015,A01,2015 Annual,1495,Asian,Men
LEU0254891900,2016,A01,2016 Annual,1600,Asian,Men
LEU0254891900,2017,A01,2017 Annual,1625,Asian,Men
LEU0254891900,2018,A01,2018 Annual,1685,Asian,Men
LEU0254891900,2019,A01,2019 Annual,1823,Asian,Men
LEU0254891900,2020,A01,2020 Annual,1871,Asian,Men
LEU0254891900,2021,A01,2021 Annual,1885,Asian,Men
LEU0254891900,2022,A01,2022 Annual,1983,Asian,Men
LEU0254891900,2023,A01,2023 Annual,2084,Asian,Men
LEU0254893700,2012,A01,2012 Annual,1265,Asian,Men
LEU0254893700,2013,A01,2013 Annual,1332,Asian,Men
LEU0254893700,2014,A01,2014 Annual,1256,Asian,Men
LEU0254893700,2015,A01,2015 Annual,1316,Asian,Men
LEU0254893700,2016,A01,2016 Annual,1371,Asian,Men
LEU0254893700,2017,A01,2017 Annual,1437,Asian,Men
LEU0254893700,2018,A01,2018 Annual,1462,Asian,Men
LEU0254893700,2019,A01,2019 Annual,1556,Asian,Men
LEU0254893700,2020,A01,2020 Annual,1594,Asian,Men
LEU0254893700,2021,A01,2021 Annual,1631,Asian,Men
LEU0254893700,2022,A01,2022 Annual,1830,Asian,Men
LEU0254893700,2023,A01,2023 Annual,1827,Asian,Men
LEU0254895500,2012,A01,2012 Annual,1614,Asian,Men
LEU0254895500,2013,A01,2013 Annual,1734,Asian,Men
LEU0254895500,2014,A01,2014 Annual,1752,Asian,Men
LEU0254895500,2015,A01,2015 Annual,1745,Asian,Men
LEU0254895500,2016,A01,2016 Annual,1878,Asian,Men
LEU0254895500,2017,A01,2017 Annual,1800,Asian,Men
LEU0254895500,2018,A01,2018 Annual,1882,Asian,Men
LEU0254895500,2019,A01,2019 Annual,1999,Asian,Men
LEU0254895500,2020,A01,2020 Annual,2006,Asian,Men
LEU0254895500,2021,A01,2021 Annual,2090,Asian,Men
LEU0254895500,2022,A01,2022 Annual,2279,Asian,Men
LEU0254895500,2023,A01,2023 Annual,2384,Asian,Men
LEU0254887100,2012,A01,2012 Annual,398,Asian,Women
LEU0254887100,2013,A01,2013 Annual,405,Asian,Women
LEU0254887100,2014,A01,2014 Annual,450,Asian,Women
LEU0254887100,2015,A01,2015 Annual,443,Asian,Women
LEU0254887100,2016,A01,2016 Annual,461,Asian,Women
LEU0254887100,2017,A01,2017 Annual,438,Asian,Women
LEU0254887100,2018,A01,2018 Annual,491,Asian,Women
LEU0254887100,2019,A01,2019 Annual,487,Asian,Women
LEU0254887100,2020,A01,2020 Annual,586,Asian,Women
LEU0254887100,2021,A01,2021 Annual,533,Asian,Women
LEU0254887100,2022,A01,2022 Annual,602,Asian,Women
LEU0254887100,2023,A01,2023 Annual,627,Asian,Women
LEU0254888900,2012,A01,2012 Annual,504,Asian,Women
LEU0254888900,2013,A01,2013 Annual,551,Asian,Women
LEU0254888900,2014,A01,2014 Annual,543,Asian,Women
LEU0254888900,2015,A01,2015 Annual,577,Asian,Women
LEU0254888900,2016,A01,2016 Annual,592,Asian,Women
LEU0254888900,2017,A01,2017 Annual,591,Asian,Women
LEU0254888900,2018,A01,2018 Annual,583,Asian,Women
LEU0254888900,2019,A01,2019 Annual,607,Asian,Women
LEU0254888900,2020,A01,2020 Annual,617,Asian,Women
LEU0254888900,2021,A01,2021 Annual,673,Asian,Women
LEU0254888900,2022,A01,2022 Annual,710,Asian,Women
LEU0254888900,2023,A01,2023 Annual,769,Asian,Women
LEU0254890700,2012,A01,2012 Annual,656,Asian,Women
LEU0254890700,2013,A01,2013 Annual,671,Asian,Women
LEU0254890700,2014,A01,2014 Annual,706,Asian,Women
LEU0254890700,2015,A01,2015 Annual,681,Asian,Women
LEU0254890700,2016,A01,2016 Annual,710,Asian,Women
LEU0254890700,2017,A01,2017 Annual,710,Asian,Women
LEU0254890700,2018,A01,2018 Annual,717,Asian,Women
LEU0254890700,2019,A01,2019 Annual,779,Asian,Women
LEU0254890700,2020,A01,2020 Annual,792,Asian,Women
LEU0254890700,2021,A01,2021 Annual,833,Asian,Women
LEU0254890700,2022,A01,2022 Annual,837,Asian,Women
LEU0254890700,2023,A01,2023 Annual,932,Asian,Women
LEU0254892500,2012,A01,2012 Annual,1077,Asian,Women
LEU0254892500,2013,A01,2013 Annual,1138,Asian,Women
LEU0254892500,2014,A01,2014 Annual,1140,Asian,Women
LEU0254892500,2015,A01,2015 Annual,1162,Asian,Women
LEU0254892500,2016,A01,2016 Annual,1262,Asian,Women
LEU0254892500,2017,A01,2017 Annual,1248,Asian,Women
LEU0254892500,2018,A01,2018 Annual,1242,Asian,Women
LEU0254892500,2019,A01,2019 Annual,1416,Asian,Women
LEU0254892500,2020,A01,2020 Annual,1440,Asian,Women
LEU0254892500,2021,A01,2021 Annual,1496,Asian,Women
LEU0254892500,2022,A01,2022 Annual,1571,Asian,Women
LEU0254892500,2023,A01,2023 Annual,1643,Asian,Women
LEU0254894300,2012,A01,2012 Annual,992,Asian,Women
LEU0254894300,2013,A01,2013 Annual,1040,Asian,Women
LEU0254894300,2014,A01,2014 Annual,1037,Asian,Women
LEU0254894300,2015,A01,2015 Annual,1070,Asian,Women
LEU0254894300,2016,A01,2016 Annual,1129,Asian,Women
LEU0254894300,2017,A01,2017 Annual,1090,Asian,Women
LEU0254894300,2018,A01,2018 Annual,1124,Asian,Women
LEU0254894300,2019,A01,2019 Annual,1247,Asian,Women
LEU0254894300,2020,A01,2020 Annual,1238,Asian,Women
LEU0254894300,2021,A01,2021 Annual,1351,Asian,Women
LEU0254894300,2022,A01,2022 Annual,1394,Asian,Women
LEU0254894300,2023,A01,2023 Annual,1428,Asian,Women
LEU0254896100,2012,A01,2012 Annual,1273,Asian,Women
LEU0254896100,2013,A01,2013 Annual,1287,Asian,Women
LEU0254896100,2014,A01,2014 Annual,1342,Asian,Women
LEU0254896100,2015,A01,2015 Annual,1361,Asian,Women
LEU0254896100,2016,A01,2016 Annual,1457,Asian,Women
LEU0254896100,2017,A01,2017 Annual,1462,Asian,Women
LEU0254896100,2018,A01,2018 Annual,1460,Asian,Women
LEU0254896100,2019,A01,2019 Annual,1615,Asian,Women
LEU0254896100,2020,A01,2020 Annual,1709,Asian,Women
LEU0254896100,2021,A01,2021 Annual,1619,Asian,Women
LEU0254896100,2022,A01,2022 Annual,1836,Asian,Women
LEU0254896100,2023,A01,2023 Annual,1899,Asian,Women
LEU0252938100,2000,A01,2000 Annual,402,Black or African American,Men
LEU0252938100,2001,A01,2001 Annual,397,Black or African American,Men
LEU0252938100,2002,A01,2002 Annual,401,Black or African American,Men
LEU0252938100,2003,A01,2003 Annual,421,Black or African American,Men
LEU0252938100,2004,A01,2004 Annual,416,Black or African American,Men
