Year,Occupation,Total_Number,Men_Number,Women_Number,Total_MedianEarnings,Men_MedianEarnings,Women_MedianEarnings
2019,Driver/sales workers and truck drivers,2886784,2726573,160211,46698,47377,32234
2020,Professional and related occupations,29213,13008,16204,1270,1532,1121
2020,"Natural resources, construction, and maintenance occupations",10690,10152,538,905,917,682
2020,Sales and office occupations,21165,8435,12729,809,956,746
2020,Transportation and material moving occupations,7917,6439,1478,719,759,600
2020,Construction and extraction occupations,5826,5635,191,906,910,796
2020,Production occupations,6820,5055,1765,775,841,630
2020,Sales and related occupations,8958,4991,3967,880,1046,715
2020,"Installation, maintenance, and repair occupations",4077,3917,160,984,991,801
2020,Computer and mathematical occupations,5083,3838,1246,1633,1738,1423
2020,Office and administrative support occupations,12207,3445,8762,781,868,756
2020,Business and financial operations occupations,7294,3312,3982,1363,1550,1209
2020,Architecture and engineering occupations,2933,2466,467,1575,1626,1382
2020,Driver/sales workers and truck drivers,2592,2409,183,896,916,666
2020,Protective service occupations,2690,2080,610,982,1043,768
2020,Building and grounds cleaning and maintenance occupations,3138,2051,1087,603,651,511
2021,"Natural Resources, Construction, and Maintenance Occupations:",10065492,9645514,419978,49104,50056,36158
2021,Sales and Office Occupations:,20746616,8433139,12313477,45034,53083,40877
2021,"Computer, Engineering, and Science Occupations:",9540113,7130087,2410026,90974,94701,80406
2021,Transportation and Material Moving Occupations:,7717755,6336490,1381265,40104,41748,31204
2021,Construction and Extraction Occupations:,5491759,5327382,164377,46910,47149,39846
2021,Sales and Related Occupations:,8996896,5252747,3744149,51457,61244,41002
2021,Production Occupations:,6513044,4803799,1709245,42199,46794,34003
2021,"Education, Legal, Community Service, Arts, and Media Occupations:",11786704,4282233,7504471,58230,67526,54006
2021,"Installation, Maintenance, and Repair Occupations:",3993828,3857273,136555,52167,52346,43061
2021,Computer and Mathematical Occupations:,5029627,3776648,1252979,94409,99619,83834
2021,Business and Financial Operations Occupations:,7748685,3611239,4137446,75831,85910,67890
2021,Transportation Occupations:,3924770,3496398,428372,50033,50848,36219
2021,Office and Administrative Support Occupations:,11749720,3180392,8569328,41853,47069,40842
2021,Material Moving Occupations:,3792985,2840092,952893,33419,35459,30257
2021,Architecture and Engineering Occupations:,3056719,2569629,487090,91429,93381,81303
2022,"Natural Resources, Construction, and Maintenance Occupations:",10738294,10288762,449532,51155,51568,37784
2022,Sales and Office Occupations:,22008192,9084640,12923552,47167,56483,42390
2022,"Computer, Engineering, and Science Occupations:",10169079,7585606,2583473,94945,99692,83152
2022,Transportation and Material Moving Occupations:12,8331203,6823161,1508042,42070,44860,33560
2022,Construction and Extraction Occupations:,5992219,5806646,185573,50311,50558,40164
2022,Sales and Related Occupations:,9812069,5706063,4106006,53543,63240,42808
2022,Production Occupations:,7019626,5178333,1841293,45073,49667,36546
