occupation_group,occupation,total_number_of_workers,total_median_weekly_earnings,men_number_of_workers,men_median_weekly_earnings,women_number_of_workers,women_median_weekly_earnings
Healthcare support occupations,Physical therapist assistants and aides,75,909,30,–,44,–
Healthcare support occupations,Massage therapists,34,–,11,–,23,–
Healthcare support occupations,Dental assistants,235,754,13,–,222,758
Healthcare support occupations,Medical assistants,490,752,52,904,438,738
Healthcare support occupations,Medical transcriptionists,25,–,4,–,20,–
Healthcare support occupations,Pharmacy aides,20,–,6,–,13,–
Healthcare support occupations,Veterinary assistants and laboratory animal caretakers,67,720,14,–,53,701
Healthcare support occupations,Phlebotomists,133,730,14,–,119,723
Healthcare support occupations,Other healthcare support workers,187,833,64,919,124,790
Protective service occupations,First-line supervisors of correctional officers,59,"1,432",39,–,20,–
Protective service occupations,First-line supervisors of police and detectives,93,"1,800",83,"1,812",10,–
Protective service occupations,First-line supervisors of firefighting and prevention workers,47,–,45,–,3,–
Protective service occupations,First-line supervisors of security workers,70,"1,033",55,"1,060",15,–
Protective service occupations,"First-line supervisors of protective service workers, all other",3,–,2,–,1,–
Protective service occupations,Firefighters,297,"1,351",288,"1,357",9,–
Protective service occupations,Fire inspectors,19,–,14,–,5,–
Protective service occupations,Bailiffs,12,–,6,–,6,–
Protective service occupations,Correctional officers and jailers,294,"1,073",203,"1,133",91,914
Protective service occupations,Detectives and criminal investigators,132,"1,732",101,"1,833",31,–
Protective service occupations,Fish and game wardens,5,–,4,–,1,–
Protective service occupations,Parking enforcement workers,7,–,3,–,4,–
Protective service occupations,Police officers,709,"1,320",605,"1,363",104,"1,034"
Protective service occupations,Animal control workers,12,–,7,–,5,–
Protective service occupations,Private detectives and investigators,95,"1,326",57,"1,481",38,–
Protective service occupations,Security guards and gambling surveillance officers,730,788,562,811,168,717
Protective service occupations,Crossing guards and flaggers,24,–,11,–,13,–
Protective service occupations,Transportation security screeners,45,–,25,–,21,–
Protective service occupations,School bus monitors,9,–,0,–,9,–
Protective service occupations,Other protective service workers,44,–,32,–,11,–
Food preparation and serving related occupations,Chefs and head cooks,391,816,304,854,87,690
Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers,432,728,215,819,217,677
Food preparation and serving related occupations,Cooks,"1,259",655,813,682,446,608
Food preparation and serving related occupations,Food preparation workers,484,619,220,645,264,600
Food preparation and serving related occupations,Bartenders,208,764,129,768,78,745
Food preparation and serving related occupations,Fast food and counter workers,288,610,109,639,179,595
Food preparation and serving related occupations,Waiters and waitresses,828,642,281,684,547,617
Food preparation and serving related occupations,"Food servers, nonrestaurant",91,623,32,–,59,642
Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers,132,593,62,607,69,588
Food preparation and serving related occupations,Dishwashers,133,598,106,601,27,–
Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop",73,594,11,–,62,596
Food preparation and serving related occupations,"Food preparation and serving related workers, all other",7,–,6,–,1,–
Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,"1,505",696,999,745,505,626
Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,834,619,113,686,721,611
Building and grounds cleaning and maintenance occupations,Pest control workers,90,848,83,858,7,–
Building and grounds cleaning and maintenance occupations,Landscaping and groundskeeping workers,713,703,673,709,40,–
Building and grounds cleaning and maintenance occupations,Tree trimmers and pruners,92,775,91,775,1,–
Building and grounds cleaning and maintenance occupations,Other grounds maintenance workers,18,–,18,–,0,–
Personal care and service occupations,Supervisors of personal care and service workers,97,855,43,–,54,793
Personal care and service occupations,Animal trainers,31,–,13,–,18,–
Personal care and service occupations,Animal caretakers,161,704,38,–,122,687
Personal care and service occupations,Gambling services workers,66,893,37,–,29,–
Personal care and service occupations,"Ushers, lobby attendants, and ticket takers",7,–,3,–,4,–
Personal care and service occupations,Other entertainment attendants and related workers,87,707,39,–,48,–
Personal care and service occupations,"Embalmers, crematory operators, and funeral attendants",13,–,10,–,3,–
Personal care and service occupations,"Morticians, undertakers, and funeral arrangers",28,–,17,–,11,–
Personal care and service occupations,Barbers,69,655,45,–,24,–
Personal care and service occupations,"Hairdressers, hairstylists, and cosmetologists",239,740,18,–,222,726
Personal care and service occupations,Manicurists and pedicurists,197,772,35,–,162,748
Personal care and service occupations,Skincare specialists,46,–,0,–,46,–
Personal care and service occupations,Other personal appearance workers,11,–,0,–,11,–
Personal care and service occupations,"Baggage porters, bellhops, and concierges",67,676,51,680,15,–
Personal care and service occupations,Tour and travel guides,14,–,8,–,6,–
Personal care and service occupations,Childcare workers,379,635,22,–,356,632
Personal care and service occupations,Exercise trainers and group fitness instructors,71,956,40,–,31,–
Personal care and service occupations,Recreation workers,129,776,56,801,74,716
Personal care and service occupations,Residential advisors,17,–,5,–,12,–
Personal care and service occupations,"Personal care and service workers, all other",68,761,23,–,45,–
Sales and related occupations,First-line supervisors of retail sales workers,"2,234",995,"1,274","1,094",960,904
Sales and related occupations,First-line supervisors of non-retail sales workers,906,"1,345",538,"1,464",367,"1,151"
Sales and related occupations,Cashiers,"1,147",606,346,616,801,602
Sales and related occupations,Counter and rental clerks,64,801,46,–,18,–
Sales and related occupations,Parts salespersons,89,769,65,796,25,–
Sales and related occupations,Retail salespersons,"1,585",829,963,988,622,710
Sales and related occupations,Advertising sales agents,101,"1,442",51,"1,728",50,"1,398"
Sales and related occupations,Insurance sales agents,443,"1,081",183,"1,310",260,927
Sales and related occupations,"Securities, commodities, and financial services sales agents",184,"2,320",129,"2,412",55,"1,654"
Sales and related occupations,Travel agents,48,–,8,–,40,–
Sales and related occupations,"Sales representatives of services, except advertising, insurance, financial services, and travel",577,"1,365",399,"1,451",178,"1,137"
Sales and related occupations,"Sales representatives, wholesale and manufacturing",999,"1,427",731,"1,535",268,"1,215"
Sales and related occupations,"Models, demonstrators, and product promoters",10,–,3,–,6,–
Sales and related occupations,Real estate brokers and sales agents,440,"1,363",188,"1,444",252,"1,215"
Sales and related occupations,Sales engineers,51,"1,918",51,"1,918",0,–
Sales and related occupations,Telemarketers,28,–,4,–,24,–
Sales and related occupations,"Door-to-door sales workers, news and street vendors, and related workers",29,–,16,–,14,–
Sales and related occupations,"Sales and related workers, all other",213,914,105,"1,019",108,807
Office and administrative support occupations,First-line supervisors of office and administrative support workers,"1,038","1,114",351,"1,209",687,"1,075"
Office and administrative support occupations,"Switchboard operators, including answering service",19,–,6,–,14,–
Office and administrative support occupations,Telephone operators,11,–,5,–,6,–
Office and administrative support occupations,"Communications equipment operators, all other",1,–,1,–,0,–
